Run,Capsule,Pressure,Temperature,uncorrected_fO2,fO2,logD,nbo_t,uncorrected_D,Corrected_logD,D,Alpha,Beta,Chi,Delta,Epsilon
W05.1a,C,0.5,2100,-1.54,-1.22,2.08,2.59,120.23,1.7,50.12,1.11,-1.18,-0.85,1680,487
W05.1b,C,0.5,2100,-1.64,-1.35,2.76,2.3,575.44,2.35,223.87,1.11,-1.18,-0.85,1680,487
W05.02a,C,0.5,2100,-1.89,-1.6,3.03,2.29,1071.52,2.64,436.52,1.11,-1.18,-0.85,1680,487
W05.02B,C,0.5,2100,-1.6,-1.31,2.23,2.66,169.82,1.84,69.18,1.11,-1.18,-0.85,1680,487
W05.3,C,0.5,2100,-2.18,-1.88,2.15,3.28,141.25,1.76,57.54,1.11,-1.18,-0.85,1680,487
W1.04,C,1,2100,-1.84,-1.55,3.04,2.14,1096.48,2.67,467.74,1.11,-1.18,-0.85,1680,487
W1.05,C,1,2100,-1.59,-1.31,1.58,3.46,38.02,2.1,125.89,1.11,-1.18,-0.85,1680,487
W1.06,C,1,2100,-1.77,-1.47,2.24,2.94,173.78,1.86,72.44,1.11,-1.18,-0.85,1680,487
W1.07,C,1,2100,-1.36,-1.06,2.12,2.51,131.83,1.73,53.7,1.11,-1.18,-0.85,1680,487
W1.08,C,1,2100,-1.68,-1.37,2.69,2.26,489.78,2.31,204.17,1.11,-1.18,-0.85,1680,487
W1.09,C,1,2100,-2.07,-1.79,2.42,3.03,263.03,2.04,109.65,1.11,-1.18,-0.85,1680,487
W1.10,C,1,2100,-1.36,-1.06,1.85,2.65,70.79,1.48,30.2,1.11,-1.18,-0.85,1680,487
W1.11,C,1,2100,-1.44,-1.14,2.25,2.36,177.83,1.87,74.13,1.11,-1.18,-0.85,1680,487
W1.12,C,1,2100,-1.92,-1.64,3.55,1.27,3548.13,3.14,1380.38,1.11,-1.18,-0.85,1680,487
W1.13,C,1,2100,-2.17,-1.86,3.35,2.14,2238.72,2.97,933.25,1.11,-1.18,-0.85,1680,487
W1.14,C,1,2100,-1.59,-1.31,2.05,2.66,112.2,1.68,47.86,1.11,-1.18,-0.85,1680,487
W1.15,C,1,2100,-1.8,-1.55,1.83,3.36,67.61,1.48,30.2,1.11,-1.18,-0.85,1680,487
W08,C,2,2300,-1.59,-1.26,2.35,2.73,223.87,1.84,69.18,1.11,-1.18,-0.85,1680,487
W10,C,2,2300,-2.06,-1.69,3.64,2.06,4365.16,3.13,1348.96,1.11,-1.18,-0.85,1680,487
W12,C,2,2300,-1.35,-1,1.89,2.74,77.62,1.36,22.91,1.11,-1.18,-0.85,1680,487
W17,C,2,2300,-1.74,-1.38,3.14,2.19,1380.38,2.65,446.68,1.11,-1.18,-0.85,1680,487
W20,C,2,2300,-1.42,-1.08,2.07,2.83,117.49,1.55,35.48,1.11,-1.18,-0.85,1680,487
W34,C,2,2300,-1.65,-1.3,2.92,2.26,831.76,2.42,263.03,1.11,-1.18,-0.85,1680,487
W39,C,2,2300,-1.39,-1.07,2.56,2.36,363.08,2.07,117.49,1.11,-1.18,-0.85,1680,487
W43,C,2,2300,-1.29,-0.95,2.29,2.5,194.98,1.79,61.66,1.11,-1.18,-0.85,1680,487
PC579,C,2,2200,-1.09,-0.88,2.25,2.29,177.83,1.86,72.44,1.11,-1.18,-0.85,1680,487
W47,C,2,2300,-1.9,-1.55,3.18,2.3,1513.56,2.68,478.63,1.11,-1.18,-0.85,1680,487
W54,C,2,2300,-1.8,-1.46,1.93,3.54,85.11,1.43,26.92,1.11,-1.18,-0.85,1680,487
W55,C,2,2300,-1.59,-1.25,1.7,3.62,50.12,1.18,15.14,1.11,-1.18,-0.85,1680,487
W56,C,2,2300,-1.9,-1.54,2.54,3,346.74,2.03,107.15,1.11,-1.18,-0.85,1680,487
W57,C,2,2300,-1.4,-1.03,2.37,2.58,234.42,1.91,81.28,1.11,-1.18,-0.85,1680,487
W58,C,2,2300,-2.06,-1.73,2.66,3.09,457.09,2.16,144.54,1.11,-1.18,-0.85,1680,487
W59,C,2,2300,-1.82,-1.49,3.71,1.35,5128.61,3.17,1479.11,1.11,-1.18,-0.85,1680,487
W63,C,2,2300,-2.85,,2.24,4.07,173.78,2.78,602.56,1.11,-1.18,-0.85,1680,487
W73,C,2,2300,-1.2,-0.87,1.78,2.8,60.26,1.1,12.59,1.11,-1.18,-0.85,1680,487
W74,C,2,2450,-1.52,-1.16,1.64,3.36,43.65,1.05,11.22,1.11,-1.18,-0.85,1680,487
W75,C,2,2450,-1.38,-1,2.48,2.25,302,1.89,77.62,1.11,-1.18,-0.85,1680,487
W76,C,2,2450,-2.26,-1.87,2.79,2.9,616.6,2.2,158.49,1.11,-1.18,-0.85,1680,487
W77,C,2,2450,-1.87,-1.51,2.53,2.77,338.84,1.97,93.33,1.11,-1.18,-0.85,1680,487
W78,C,2,2450,-1.51,-1.16,2.24,2.55,173.78,1.63,42.66,1.11,-1.18,-0.85,1680,487
W83,C,2,2450,-1.54,-1.17,1.69,3.38,48.98,1.07,11.75,1.11,-1.18,-0.85,1680,487
W84,C,2,2450,-1.83,-1.47,3.76,1.25,5754.4,3.14,1380.38,1.11,-1.18,-0.85,1680,487
W15,C,2,2600,-1.64,-1.18,2.37,2.65,234.42,1.64,43.65,1.11,-1.18,-0.85,1680,487
