,bulk-fO2_-0.8,bulk-fO2_-1.1,bulk-fO2_-2.25,bulk-fO2_-2.45,bulk-fO2_-3.5,bulk-fO2_0,bulk-fO2_0.5,bulk-fO2_1.0,bulk-fO2_2.0,bulk-fO2_3.5,core-fO2_-0.8,core-fO2_-1.1,core-fO2_-2.25,core-fO2_-2.45,core-fO2_-3.5,core-fO2_0,core-fO2_0.5,core-fO2_1.0,core-fO2_2.0,core-fO2_3.5,mantle-fO2_-0.8,mantle-fO2_-1.1,mantle-fO2_-2.25,mantle-fO2_-2.45,mantle-fO2_-3.5,mantle-fO2_0,mantle-fO2_0.5,mantle-fO2_1.0,mantle-fO2_2.0,mantle-fO2_3.5,time
0,-7254.043013340632,-7301.773806792717,-7344.744176788411,-7345.640249593493,-7346.814164084767,-6983.4690979299985,-6843.571931598185,-6788.299847913968,-6767.750352246236,-6766.264922889211,-9862.678385705569,-9865.07735070341,-9867.23667928778,-9867.281704566027,-9867.340690416966,-9849.07090597341,-9842.029714042505,-9839.246745611574,-9838.21191815127,-9838.13711196861,-6651.743470490661,-6653.353385779659,-6654.802488825855,-6654.832704871506,-6654.872289730672,-6642.611767069106,-6637.886636735866,-6636.019084393068,-6635.324649968287,-6635.274450341406,5000000
1,-7254.043013340632,-7301.773806792717,-7344.744176788411,-7345.640249593493,-7346.814164084767,-6983.4690979299985,-6843.571931598185,-6788.299847913968,-6767.750352246236,-6766.264922889211,-9862.678385705569,-9865.07735070341,-9867.23667928778,-9867.281704566027,-9867.340690416966,-9849.07090597341,-9842.029714042505,-9839.246745611574,-9838.21191815127,-9838.13711196861,-6651.743470490661,-6653.353385779659,-6654.802488825855,-6654.832704871506,-6654.872289730672,-6642.611767069106,-6637.886636735866,-6636.019084393068,-6635.324649968287,-6635.274450341406,5000000
2,-7254.043013340632,-7301.773806792717,-7344.744176788411,-7345.640249593493,-7346.814164084767,-6983.4690979299985,-6843.571931598185,-6788.299847913968,-6767.750352246236,-6766.264922889211,-9862.678385705569,-9865.07735070341,-9867.23667928778,-9867.281704566027,-9867.340690416966,-9849.07090597341,-9842.029714042505,-9839.246745611574,-9838.21191815127,-9838.13711196861,-6651.743470490661,-6653.353385779659,-6654.802488825855,-6654.832704871506,-6654.872289730672,-6642.611767069106,-6637.886636735866,-6636.019084393068,-6635.324649968287,-6635.274450341406,5000000
3,-7254.043013340632,-7301.773806792717,-7344.744176788411,-7345.640249593493,-7346.814164084767,-6983.4690979299985,-6843.571931598185,-6788.299847913968,-6767.750352246236,-6766.264922889211,-9862.678385705569,-9865.07735070341,-9867.23667928778,-9867.281704566027,-9867.340690416966,-9849.07090597341,-9842.029714042505,-9839.246745611574,-9838.21191815127,-9838.13711196861,-6651.743470490661,-6653.353385779659,-6654.802488825855,-6654.832704871506,-6654.872289730672,-6642.611767069106,-6637.886636735866,-6636.019084393068,-6635.324649968287,-6635.274450341406,5000000
4,-7254.043013340632,-7301.773806792717,-7344.744176788411,-7345.640249593493,-7346.814164084767,-6983.4690979299985,-6843.571931598185,-6788.299847913968,-6767.750352246236,-6766.264922889211,-9862.678385705569,-9865.07735070341,-9867.23667928778,-9867.281704566027,-9867.340690416966,-9849.07090597341,-9842.029714042505,-9839.246745611574,-9838.21191815127,-9838.13711196861,-6651.743470490661,-6653.353385779659,-6654.802488825855,-6654.832704871506,-6654.872289730672,-6642.611767069106,-6637.886636735866,-6636.019084393068,-6635.324649968287,-6635.274450341406,5000000
5,-7254.043013340632,-7301.773806792717,-7344.744176788411,-7345.640249593493,-7346.814164084767,-6983.4690979299985,-6843.571931598185,-6788.299847913968,-6767.750352246236,-6766.264922889211,-9862.678385705569,-9865.07735070341,-9867.23667928778,-9867.281704566027,-9867.340690416966,-9849.07090597341,-9842.029714042505,-9839.246745611574,-9838.21191815127,-9838.13711196861,-6651.743470490661,-6653.353385779659,-6654.802488825855,-6654.832704871506,-6654.872289730672,-6642.611767069106,-6637.886636735866,-6636.019084393068,-6635.324649968287,-6635.274450341406,5000000
6,-7254.043013340632,-7301.773806792717,-7344.744176788411,-7345.640249593493,-7346.814164084767,-6983.4690979299985,-6843.571931598185,-6788.299847913968,-6767.750352246236,-6766.264922889211,-9862.678385705569,-9865.07735070341,-9867.23667928778,-9867.281704566027,-9867.340690416966,-9849.07090597341,-9842.029714042505,-9839.246745611574,-9838.21191815127,-9838.13711196861,-6651.743470490661,-6653.353385779659,-6654.802488825855,-6654.832704871506,-6654.872289730672,-6642.611767069106,-6637.886636735866,-6636.019084393068,-6635.324649968287,-6635.274450341406,5000000
7,-7254.043013340632,-7301.773806792717,-7344.744176788411,-7345.640249593493,-7346.814164084767,-6983.4690979299985,-6843.571931598185,-6788.299847913968,-6767.750352246236,-6766.264922889211,-9862.678385705569,-9865.07735070341,-9867.23667928778,-9867.281704566027,-9867.340690416966,-9849.07090597341,-9842.029714042505,-9839.246745611574,-9838.21191815127,-9838.13711196861,-6651.743470490661,-6653.353385779659,-6654.802488825855,-6654.832704871506,-6654.872289730672,-6642.611767069106,-6637.886636735866,-6636.019084393068,-6635.324649968287,-6635.274450341406,5000000
8,-7254.043013340632,-7301.773806792717,-7344.744176788411,-7345.640249593493,-7346.814164084767,-6983.4690979299985,-6843.571931598185,-6788.299847913968,-6767.750352246236,-6766.264922889211,-9862.678385705569,-9865.07735070341,-9867.23667928778,-9867.281704566027,-9867.340690416966,-9849.07090597341,-9842.029714042505,-9839.246745611574,-9838.21191815127,-9838.13711196861,-6651.743470490661,-6653.353385779659,-6654.802488825855,-6654.832704871506,-6654.872289730672,-6642.611767069106,-6637.886636735866,-6636.019084393068,-6635.324649968287,-6635.274450341406,5000000
9,-7254.043013340632,-7301.773806792717,-7344.744176788411,-7345.640249593493,-7346.814164084767,-6983.4690979299985,-6843.571931598185,-6788.299847913968,-6767.750352246236,-6766.264922889211,-9862.678385705569,-9865.07735070341,-9867.23667928778,-9867.281704566027,-9867.340690416966,-9849.07090597341,-9842.029714042505,-9839.246745611574,-9838.21191815127,-9838.13711196861,-6651.743470490661,-6653.353385779659,-6654.802488825855,-6654.832704871506,-6654.872289730672,-6642.611767069106,-6637.886636735866,-6636.019084393068,-6635.324649968287,-6635.274450341406,5000000
